ticker,name,day,price
084010,대한제강,1,10530
001790,대한제당,1,2925
001795,대한제당우,1,2405
001130,대한제분,1,151700
439260,대한조선,1,85700
003490,대한항공,1,25300
003495,대한항공우,1,24350
005880,대한해운,1,2315
003830,대한화섬,1,124500
016090,대현,1,1677
069460,대호에이엘,1,532
475560,더본코리아,1,21050
192080,더블유게임즈,1,50500
012510,더존비즈온,1,119300
004830,덕성,1,4405
004835,덕성우,1,6080
145720,덴티움,1,53000
002150,도화엔지니어링,1,6360
460850,동국씨엠,1,5880
460860,동국제강,1,9260
001230,동국홀딩스,1,9970
023450,동남합성,1,30550
004140,동방,1,2720
007590,동방아그로,1,5890
005960,동부건설,1,8510
005965,동부건설우,1,18710
026960,동서,1,27400
002210,동성제약,1,973
102260,동성케미컬,1,4275
000640,동아쏘시오홀딩스,1,98400
170900,동아에스티,1,45850
028100,동아지질,1,17580
001520,동양,1,797
001527,동양2우B,1,7780
084670,동양고속,1,40500
082640,동양생명,1,9000
001525,동양우,1,4360
018500,동원금속,1,1686
006040,동원산업,1,40000
030720,동원수산,1,5880
014820,동원시스템즈,1,26250
014825,동원시스템즈우,1,16390
111380,동인기연,1,14140
163560,동일고무벨트,1,6890
004890,동일산업,1,38750
002690,동일제강,1,1563
000020,동화약품,1,6020
000150,두산,1,1203000
000157,두산2우B,1,451000
454910,두산로보틱스,1,84900
241560,두산밥캣,1,59600
034020,두산에너빌리티,1,98100
000155,두산우,1,497500
336260,두산퓨얼셀,1,38150
33626K,두산퓨얼셀1우,1,7250
33626L,두산퓨얼셀2우B,1,9600
016740,두올,1,4640
192650,드림텍,1,6840
024090,디씨엠,1,12310
003160,디아이,1,34500
092200,디아이씨,1,8600
377190,디앤디플랫폼리츠,1,3155
013570,디와이,1,4950
024900,디와이덕양,1,1999
210540,디와이파워,1,13480
032350,롯데관광개발,1,19850
089860,롯데렌탈,1,32600
330590,롯데리츠,1,4640
000400,롯데손해보험,1,2130
023530,롯데쇼핑,1,114400
020150,롯데에너지머티리얼즈,1,42100
280360,롯데웰푸드,1,116200
286940,롯데이노베이트,1,22100
004000,롯데정밀화학,1,51800
004990,롯데지주,1,30950
00499K,롯데지주우,1,30500
005300,롯데칠성,1,117900
005305,롯데칠성우,1,81600
011170,롯데케미칼,1,82700
071840,롯데하이마트,1,8130
027740,마니커,1,810
357430,마스턴프리미어리츠,1,1496
001080,만호제강,1,5170
088980,맥쿼리인프라,1,11410
094800,맵스리얼티,1,7050
138040,메리츠금융지주,1,116400
090370,메타랩스,1,1483
118000,메타케어,1,241
017180,명문제약,1,1900
009900,명신산업,1,9800
317450,명인제약,1,57100
012690,모나리자,1,2465
005360,모나미,1,1722
070960,모나용평,1,3020
009680,모토닉,1,10760
009580,무림P&P,1,2805
009200,무림페이퍼,1,2090
033920,무학,1,8840
008420,문배철강,1,2285
025560,미래산업,1,13470
007120,미래아이앤지,1,2120
396690,미래에셋글로벌리츠,1,2495
357250,미래에셋맵스리츠,1,2405
085620,미래에셋생명,1,17910
006800,미래에셋증권,1,67100
00680K,미래에셋증권2우B,1,20500
006805,미래에셋증권우,1,22750
081660,미스토홀딩스,1,40200
002840,미원상사,1,135800
268280,미원에스씨,1,125800
107590,미원홀딩스,1,65000
134380,미원화학,1,119700
003650,미창석유,1,112500
377740,바이오노트,1,5480
003610,방림,1,5200
035150,백산,1,12960
002410,범양건영,1,1935
007210,벽산,1,1860
002760,보락,1,1157
003850,보령,1,9650
000890,보해양조,1,432
003000,부광약품,1,9600
001270,부국증권,1,75800
001275,부국증권우,1,38650
026940,부국철강,1,1997
011390,부산산업,1,73700
005030,부산주공,1,486
006740,블루산업개발,1,586
002070,비비안,1,390
100220,비상교육,1,5450
090460,비에이치,1,21700
005180,빙그레,1,74200
003960,사조대림,1,32550
008040,사조동아원,1,1030
007160,사조산업,1,53300
014710,사조씨푸드,1,7310
006090,사조오양,1,8240
062040,산일전기,1,149300
001470,삼부토건,1,347
028050,삼성E&A,1,33100
448730,삼성FN리츠,1,5550
006400,삼성SDI,1,405500
006405,삼성SDI우,1,213000
006660,삼성공조,1,11520
028260,삼성물산,1,269000
02826K,삼성물산우B,1,180800
207940,삼성바이오로직스,1,1606000
032830,삼성생명,1,223000
018260,삼성에스디에스,1,156300
