종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"016380","KG스틸","5680","-60","-1.05","5680","5760","5530","531217","3003381035","568050534960","100008897"
"001390","KG케미칼","5360","-140","-2.55","5740","5740","5350","1602114","8789304080","360369040800","67233030"
"001940","KISCO홀딩스","26400","0","0.00","26150","26400","25700","7327","190450000","374256432000","14176380"
"025000","KPX케미칼","49500","-700","-1.39","49600","49900","49450","5909","293207650","216746095500","4378709"
"092230","KPX홀딩스","81900","300","0.37","80800","82100","80600","1057","85902900","345998507400","4224646"
"000040","KR모터스","398","-6","-1.49","403","403","391","80685","32141921","34377323232","86375184"
"044450","KSS해운","10500","-100","-0.94","10610","10610","10270","88576","922878565","242401740000","23085880"
"030200","KT","60800","1100","1.84","59500","60800","58800","273113","16383422150","15322918448000","252021685"
"033780","KT&G","158000","2500","1.61","155400","158200","153200","165718","25927548800","18118909910000","114676645"
"058850","KTcs","2595","-5","-0.19","2595","2610","2545","225968","582111886","110767575000","42685000"
"058860","KTis","2835","-15","-0.53","2845","2845","2785","61497","172749495","98663670000","34802000"
"093050","LF","23650","250","1.07","22850","23900","22850","92368","2177354100","691526000000","29240000"
"003550","LG","89000","1500","1.71","85800","89100","84800","310858","27166813400","13725721065000","154221585"
"034220","LG디스플레이","11500","-30","-0.26","11350","11500","10930","4031307","45077399420","5750000000000","500000000"
"051900","LG생활건강","247500","5500","2.27","240500","247500","236500","60981","14863465250","3787358602500","15302459"
"051905","LG생활건강우","109000","500","0.46","108500","109300","107100","6499","702904200","228866973000","2099697"
"064400","LG씨엔에스","61100","-100","-0.16","60000","61300","59100","401019","24077264750","5919731422800","96885948"
"373220","LG에너지솔루션","394500","10000","2.60","374000","396000","366000","372863","143166970250","92313000000000","234000000"
"003555","LG우","68700","-400","-0.58","68800","69000","67400","8008","546265250","206869371300","3011199"
"032640","LG유플러스","16100","150","0.94","15810","16370","15430","1634597","26231493830","6920236515500","429828355"
"011070","LG이노텍","320500","17500","5.78","298000","322500","296500","466427","145694933500","7585307793500","23667107"
"066570","LG전자","112000","-1000","-0.88","109100","112200","107700","513360","56406129850","18243275344000","162886387"
"066575","LG전자우","51200","-300","-0.58","50800","51300","49800","73576","3707347600","879922790400","17185992"
"037560","LG헬로비전","2280","15","0.66","2255","2290","2225","82970","186846779","176578852200","77446865"
"051910","LG화학","313000","-1000","-0.32","304000","316500","298500","239600","73821790500","22095403359000","70592343"
"051915","LG화학우","156500","2900","1.89","150000","157700","149700","28640","4403326900","1203297200000","7688800"
"079550","LIG넥스원","735000","0","0.00","723000","746000","709000","289394","210886192000","16170000000000","22000000"
"006260","LS","268000","-9000","-3.25","264000","270500","256500","142220","37398839000","8361600000000","31200000"
"010120","LS ELECTRIC","801000","-33000","-3.96","803000","813000","762000","171991","135021369000","24030000000000","30000000"
"000680","LS네트웍스","3135","-5","-0.16","3165","3165","3015","98189","302788000","247047455160","78803016"
"229640","LS에코에너지","44300","-300","-0.67","43500","45400","41800","189145","8310347100","1356682139700","30624879"
"108320","LX세미콘","51600","900","1.78","50000","51900","49450","66974","3393631550","839237880000","16264300"
"001120","LX인터내셔널","46400","-1800","-3.73","48250","49850","45350","270584","12612418450","1798464000000","38760000"
"108670","LX하우시스","28550","50","0.18","28500","28650","27850","15106","425058025","256026978500","8967670"
"108675","LX하우시스우","15500","-80","-0.51","15350","15530","15320","1244","19125060","16001115000","1032330"
"383800","LX홀딩스","8310","20","0.24","8180","8310","8100","89278","730397850","633892533900","76280690"
"38380K","LX홀딩스1우","8080","-210","-2.53","8490","8490","8000","5225","42148050","11839502800","1465285"
"023150","MH에탄올","4285","-30","-0.70","4280","4350","4150","5186","22006365","31616983910","7378526"
"035420","NAVER","212500","1000","0.47","208000","213000","206000","439328","92204026500","33331185575000","156852638"
"181710","NHN","41850","4850","13.11","37000","42500","36600","319898","13055240775","1370718867150","32753139"
"400760","NH올원리츠","3230","-15","-0.46","3215","3240","3210","165259","533195256","177421558250","54929275"
"005940","NH투자증권","34250","1000","3.01","32350","35150","32150","1078231","36343996800","12204794638250","356344369"
"005945","NH투자증권우","27150","200","0.74","26650","27450","26200","212024","5715837575","512346781200","18870968"
"338100","NH프라임리츠","4600","-10","-0.22","4570","4600","4555","83467","382203538","85836000000","18660000"
"034310","NICE","14080","210","1.51","13710","14080","13580","59089","816650390","517540770560","36757157"
"030190","NICE평가정보","16880","160","0.96","16800","16990","16530","82410","1385702365","994426575760","58911527"
"008260","NI스틸","3645","45","1.25","3590","3645","3525","96258","346445450","104247426465","28600117"
"004250","NPC","4015","-10","-0.25","4080","4200","3920","506199","2044074415","147430800000","36720000"
